contig,feature,start,end,strand,gene_id,biotype
contig011,gene,1,105,-,JX73_01575,rRNA
contig011,transcript,1,105,-,JX73_01575,rRNA
contig011,exon,1,105,-,JX73_01575,rRNA
contig011,gene,5831,5905,+,JX73_01605,tRNA
contig011,transcript,5831,5905,+,JX73_01605,tRNA
contig011,exon,5831,5905,+,JX73_01605,tRNA
contig011,gene,5949,6173,-,JX73_01610,protein_coding
contig011,transcript,5949,6173,-,JX73_01610,protein_coding
contig011,exon,5949,6173,-,JX73_01610,protein_coding
contig011,CDS,5952,6173,-,JX73_01610,protein_coding
contig011,start_codon,6171,6173,-,JX73_01610,protein_coding
contig011,stop_codon,5949,5951,-,JX73_01610,protein_coding
contig011,gene,7088,8887,-,JX73_01620,protein_coding
contig011,transcript,7088,8887,-,JX73_01620,protein_coding
contig011,exon,7088,8887,-,JX73_01620,protein_coding
contig011,CDS,7091,8887,-,JX73_01620,protein_coding
contig011,start_codon,8885,8887,-,JX73_01620,protein_coding
contig011,stop_codon,7088,7090,-,JX73_01620,protein_coding
contig011,gene,8987,11470,-,JX73_01625,protein_coding
contig011,transcript,8987,11470,-,JX73_01625,protein_coding
contig011,exon,8987,11470,-,JX73_01625,protein_coding
contig011,CDS,8990,11470,-,JX73_01625,protein_coding
contig011,start_codon,11468,11470,-,JX73_01625,protein_coding
contig011,stop_codon,8987,8989,-,JX73_01625,protein_coding
contig011,gene,11537,12325,-,JX73_01630,protein_coding
contig011,transcript,11537,12325,-,JX73_01630,protein_coding
contig011,exon,11537,12325,-,JX73_01630,protein_coding
contig011,CDS,11540,12325,-,JX73_01630,protein_coding
contig011,start_codon,12323,12325,-,JX73_01630,protein_coding
contig011,stop_codon,11537,11539,-,JX73_01630,protein_coding
contig011,gene,12326,13339,-,JX73_01635,protein_coding
contig011,transcript,12326,13339,-,JX73_01635,protein_coding
contig011,exon,12326,13339,-,JX73_01635,protein_coding
contig011,CDS,12329,13339,-,JX73_01635,protein_coding
contig011,start_codon,13337,13339,-,JX73_01635,protein_coding
contig011,stop_codon,12326,12328,-,JX73_01635,protein_coding
contig011,gene,13505,13581,-,JX73_01640,tRNA
contig011,transcript,13505,13581,-,JX73_01640,tRNA
contig011,exon,13505,13581,-,JX73_01640,tRNA
contig011,gene,13584,13658,-,JX73_01645,tRNA
contig011,transcript,13584,13658,-,JX73_01645,tRNA
contig011,exon,13584,13658,-,JX73_01645,tRNA
contig011,gene,13859,14761,-,JX73_01650,protein_coding
contig011,transcript,13859,14761,-,JX73_01650,protein_coding
contig011,exon,13859,14761,-,JX73_01650,protein_coding
contig011,CDS,13862,14761,-,JX73_01650,protein_coding
contig011,start_codon,14759,14761,-,JX73_01650,protein_coding
contig011,stop_codon,13859,13861,-,JX73_01650,protein_coding
